acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_total_x,acc_total_y,acc_total_z,label
-0.004285398,-0.000664937,-0.002594268,0.003241416,-0.002349511,0.00160695,-0.06638118,0.8196092,0.6016199,6
-0.4707981,0.2132843,0.04188381,-2.095822,-0.02814658,-0.474603,0.4658813,-0.01510668,0.007740276,3
-0.4499167,0.3526669,0.02377128,-1.160806,-1.097159,-0.06394033,0.4889236,0.1069289,-0.3346244,3
0.1174064,-0.1575751,0.232362,1.041833,-0.2656687,-0.1233296,1.066514,-0.521265,0.005317914,2
-0.1898989,0.3125962,0.05974246,-0.262427,0.1927671,0.05859724,0.7600326,-0.0886482,-0.0201456,2
-0.04845982,0.02382501,0.07750908,-0.5535926,-0.292668,0.06470989,0.9169345,-0.3128909,0.1799998,2
-0.2620798,0.01876845,0.1094505,-0.3968978,-0.546477,-0.1843383,0.7456034,-0.1209393,0.1169732,3
0.0679694,0.01298827,0.09096761,0.01629342,0.1250966,-0.08436355,0.9060759,-0.2648712,-0.4472876,5
-0.2080484,0.05884446,0.1706473,0.09036879,-0.02620999,-0.2833689,0.8023239,-0.1453139,0.212088,1
1.004997,-0.0395172,0.1294351,-0.7247151,-0.9722221,-0.1083265,2.008798,-0.1789072,0.1561551,3
0.3001867,0.341748,0.03671619,0.08950721,-0.1933468,0.07260971,1.250751,0.01445028,-0.14833,2
-0.003725764,-0.01165488,0.006316904,-0.006613056,0.02279669,-0.0006611032,0.2982889,0.4669401,0.8216154,6
-0.0006438537,-0.003310127,-0.006296423,-0.0003154827,-0.003201488,-0.00429579,1.013182,-0.1809355,0.07068988,5
-0.005213406,0.001099316,0.0008605405,0.1179263,0.04932058,0.1198755,0.1465483,0.846554,0.502584,6
-0.1587437,0.02246819,0.2092681,0.2632477,0.08243269,-0.6967462,0.8327233,-0.04744239,0.03394954,3
-0.02930266,0.03034182,0.04424417,-0.6353415,-0.04382643,0.6505313,0.9604245,-0.1416195,-0.1976217,3
-0.184752,0.1225906,-0.2642284,-0.6585688,-0.08003876,0.3448584,0.8334655,0.04579875,-0.1816868,3
0.001470579,-0.01442499,-0.02356316,0.04132276,-0.009907168,0.01267515,1.018471,-0.1503908,0.07736782,5
-0.002386747,-0.02651922,0.02457631,-0.03091572,-0.3119419,0.1105321,0.09311914,0.807096,0.604738,6
0.002806022,-0.02721722,-0.04499342,0.00603498,-0.02095829,-0.007801045,1.023049,-0.1146846,0.05987426,5
-0.08342049,-0.1243699,-0.02327839,0.6262128,-0.7501871,0.06016128,0.8862557,-0.3121026,-0.3211046,3
