acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_total_x,acc_total_y,acc_total_z,label
0.001899342,-0.001171067,0.0006942966,-0.007327331,0.007154363,-0.002794607,0.9134835,0.2927634,0.3433207,4
0.004463647,-0.001421509,0.004580379,0.0008509169,0.008818568,-0.0006947627,-0.01442641,0.6163819,0.8068337,6
0.0001219348,0.008058461,0.00899181,-0.03012985,0.07913142,0.03944885,1.0044,0.09049411,-0.1723555,5
-0.006714737,-0.002380954,0.007959025,-0.002106386,0.01333436,-0.0001353012,0.1820622,0.5896362,0.8035757,6
0.000104535,-0.004918679,0.008999185,0.0006822924,-0.002005797,-0.01112322,1.010178,-0.2192368,-0.06057775,4
0.0005440949,-0.01143312,-0.03064488,-0.02657044,-0.04807785,0.01019939,1.010595,-0.02265742,0.1560946,4
0.006157133,0.002447627,-0.01166107,-0.1105625,0.08267002,-0.07545892,0.9936109,0.02831786,0.243323,5
-0.03703902,0.2073201,0.392743,0.6123987,-0.1764027,0.09873781,0.9220099,-0.1618932,0.2984395,2
-0.04003802,0.2256183,-0.140681,0.4109848,0.2313101,0.1926009,0.9732447,0.03223,-0.1003789,1
-0.1510573,-0.03756535,0.09592242,-2.173535,0.6765359,0.4313217,0.8545987,-0.2791878,0.05306569,1
-0.231956,0.07058922,-0.1116953,0.2870877,0.4987834,-0.1497182,0.7819094,-0.152082,-0.09632407,2
-0.1679402,0.1328401,-0.07987225,0.7247382,0.288674,0.2950316,0.8374802,-0.00127218,0.04302572,3
-0.0003665024,-0.001547889,-0.0082432,-0.0004671182,0.003106355,-0.00727941,0.9507987,-0.33119,-0.2513521,5
-0.007394133,-0.1279568,0.0510833,0.6667898,-0.7282882,0.3177009,0.9565817,-0.4585673,0.2120747,2
-0.003867536,-0.0007395113,-0.005933907,0.004532576,0.008238248,-0.002763213,0.1080071,0.8544959,0.5230186,6
0.001485844,-0.005459125,0.002894466,0.007090342,-0.005726469,0.007990565,1.013569,0.09571101,0.1044528,4
0.001868405,-0.001582075,0.001623947,-0.000403658,-0.0009703251,0.002273597,1.000531,0.1140763,0.1993157,4
0.07270145,-0.1172415,0.04610472,0.5469591,-0.9062239,-0.4779321,1.060876,-0.3205199,-0.1808789,1
-0.1505404,0.00598027,0.3569307,-0.6550381,-0.05995198,-0.2993119,-0.003520352,1.002307,0.2146679,6
0.003132036,-0.02835213,-0.002279276,-0.20523,0.0309225,-0.0172691,1.011735,-0.2368769,0.07781083,5
-0.002285051,-2.991936e-05,0.007983248,-0.002557209,-0.002241143,-0.006036733,0.2189674,0.9724017,0.03311306,6
-0.1098146,0.02312819,0.05488987,0.4768851,-0.4430613,-0.007174987,0.9131695,-0.1040843,0.04476582,3
0.0004009643,-0.0916756,0.1495358,0.2098892,-0.4909818,-0.4853654,0.9947213,-0.3466229,0.05342218,3
-0.1531362,0.03312795,-0.03218578,0.01600041,-0.2076806,-0.4083516,0.7374363,-0.2187402,-0.4746695,1
-0.1371779,-0.1986149,0.006146859,0.4325671,-0.3695438,-1.006644,0.8065106,-0.50738,-0.2535821,2
-0.0003231195,0.00247781,0.002286253,-0.0002134687,0.003191411,0.003207546,1.003809,-0.1672342,-0.1713583,5
-0.01530251,-0.3513192,-0.07523429,0.07321314,-1.206761,-0.2448171,0.9497642,-0.7021081,-0.1800504,2
-0.02415042,0.01374118,0.02056531,-0.06846807,-0.08279339,0.06378501,0.9933537,-0.1200367,0.1227637,5
0.3605898,0.01819818,0.07583354,-0.05719368,-0.007212902,-0.2171219,1.377526,-0.08596332,0.1941504,1
0.000406756,-0.006622292,-5.637111e-05,0.013253,-0.009361586,0.01757185,0.9935785,0.006269132,0.2593523,4
-0.07251831,-0.03682567,-0.1475787,1.043716,-0.2377263,-0.6784022,0.9533346,-0.2192891,-0.1236981,2
0.0006617706,-0.001509312,-0.002670596,0.0007140789,0.002191391,0.001752449,0.9752545,-0.2084915,-0.2769538,5
0.002722353,0.01343493,0.006430514,-0.01320269,-0.03152041,0.009298946,1.013103,-0.2095245,-0.02405446,5
-0.02252873,0.007437666,0.000914415,-0.0117536,-0.002350935,-0.01158851,0.1528082,0.5493566,0.8156343,6
-0.2632253,-0.1390002,-0.03881356,-0.9704656,-0.7544114,-0.01959709,0.726043,-0.3224656,-0.18291,3
0.003276405,0.001712984,0.002880425,0.006696429,-0.01208878,0.01580251,0.9805079,0.1931211,0.229522,4
-0.7754731,0.02834681,-0.03699951,-0.06360516,0.1312674,-0.3710309,0.2409662,-0.09999298,-0.0773541,3
-0.01901432,0.005094962,0.01067831,0.01276918,-0.08691777,0.09807543,-0.03675947,0.54757,0.85878,6
0.1600041,-0.2886632,-0.1159549,-0.6173673,-0.03166215,-0.1546531,1.097053,-0.6448704,-0.3677415,2
0.0007688538,0.001237563,-0.001403078,-0.0003653565,-2.97757e-05,0.0004304381,0.9887328,-0.3111057,0.09310833,5
0.2785472,-0.04279709,0.04699099,-0.2167605,-0.06370902,0.2748291,1.290617,-0.1614147,0.2037951,1
-0.1891829,0.04769664,0.1889443,0.1066087,-0.2083936,-0.1708373,0.8167027,-0.1758747,0.1613771,1
-0.004644994,-0.002924927,0.002923423,0.004042935,-0.04818049,0.008555363,-0.1625007,0.8284579,0.5766259,6
-0.08351785,0.2315752,0.0842354,0.5518487,-0.009337378,0.1446542,-0.3834421,-0.3067626,0.849366,6
0.02944788,-0.2726115,-0.1151001,0.4861383,0.4682368,-0.5469925,0.9781697,-0.4022546,-0.4148596,3
-0.1980305,0.07059602,-0.1098477,-0.8383316,1.433151,0.592803,0.8154022,-0.1683085,-0.14117,1
0.08116416,-0.4350381,-0.08333338,-0.008859161,-0.734891,-0.1209613,0.9952682,-0.6633086,-0.4747123,2
-0.07764785,-0.07511757,-0.09783442,-0.1538713,-0.7657787,-0.1468545,0.9001841,-0.3791858,0.08841246,2
-0.211822,0.04139666,0.1293836,0.1704069,-0.1888629,0.07054542,0.7744171,-0.04324313,0.4178243,1
0.09419007,0.1758502,0.1506048,0.4795295,-0.008014481,0.03953099,1.040049,-0.1818157,-0.05668507,1
-0.001407336,0.0002409168,0.004031424,-0.01154655,0.005771049,0.01738735,0.02259059,0.9558987,0.3154333,6
-0.001146924,0.00878973,0.01102736,-0.0009516667,0.005999365,-0.009540247,1.019983,-0.1174435,0.07001622,5
-0.1350232,0.2253753,0.07347457,-0.1595876,0.3019611,0.1248479,0.8254882,-0.1125759,-0.1340605,3
0.0009477618,-9.367565e-05,-0.005022107,0.002118734,0.0126704,-0.009182031,0.7283555,0.46417,0.518837,4
-0.0605071,0.1267765,-0.1764914,-0.2766661,-0.870963,0.1964371,0.9362353,0.0189406,-0.132482,3
0.4147297,0.2821591,0.04941925,-0.1348469,-0.1215851,0.2713229,1.363656,-0.04531045,-0.1362954,2
0.000582784,0.01037383,-0.0023595,0.01821138,0.0001842341,0.008850166,1.027855,-0.03640349,-0.02202952,4
0.01040771,-0.01061776,-0.02905636,0.002621801,-0.02994256,0.01637139,0.9762369,0.160419,0.259368,4
-0.3137463,-0.05922036,0.148897,0.7287468,0.2347416,0.05740593,0.7155965,-0.1664918,0.2006645,1
0.9609217,-0.3859893,0.02704165,0.8682485,-0.6317291,-0.8967795,1.952447,-0.5299086,0.02086316,3
-0.1340733,0.2877134,0.052385,0.4853992,-0.04061193,0.3122015,0.872607,0.02993704,0.005192908,1
-0.5067965,-0.09523204,-0.07629327,-0.2263606,-0.3349658,-0.5836348,0.5058192,-0.3390272,-0.07680671,2
0.02835593,0.3119388,-0.11882,1.321171,-0.3632217,-0.1112139,1.024683,0.07590477,-0.1416351,2
-0.2192412,0.0493225,0.0774674,-0.7346902,0.03316834,0.1682362,0.7953956,-0.07968198,0.1578331,1
0.004568859,0.004207427,0.001875587,0.007190903,-0.02144955,0.002964699,0.947097,-0.111418,-0.401425,4
-0.003985262,0.0472109,0.01124246,0.05793847,0.1712705,-0.176119,1.016844,-0.1381657,0.1040575,5
-0.01193069,-0.001461232,0.004429372,0.002010798,-0.01133509,-0.004228754,0.04821724,0.4608701,0.8996519,6
-0.23507,0.08584748,-0.006559716,0.1414071,-0.402043,-0.1471593,0.7507035,-0.2403411,-0.1829947,2
0.381647,-0.3184532,-0.2789501,-0.06987448,0.7262105,-0.4291318,1.302406,-0.4933734,-0.6929386,2
-0.0008884075,0.00454515,0.001575582,0.005821558,-0.007898839,0.005903836,1.019466,-0.1529683,0.006744957,5
0.3259823,-0.2898978,-0.2063204,-0.5735995,-0.5850441,-0.1844086,1.337057,-0.4889746,-0.1927742,1
-0.07429469,0.1710454,-0.08813627,0.3568819,0.1622184,0.07304033,0.9485479,-0.02605512,-0.05112892,1
0.1779286,-0.08159206,-0.04257016,-0.1684072,0.1707102,0.2239307,1.151271,-0.2911936,0.01842329,2
-1.620265e-05,-0.005527353,0.003836942,0.004656128,0.006474179,-0.005569925,0.9737623,-0.1544456,0.3060016,5
-0.294663,0.1139382,0.20076,-0.5672525,-0.1917564,0.6449351,0.7094439,-0.1563215,0.105341,3
-0.0004652271,-8.855948e-06,0.004499355,-0.00118551,-0.002336912,0.002534769,-0.05899627,0.5783369,0.8330521,6
-0.001869937,-0.0007503978,0.004438593,-0.002814072,-0.003115044,0.007516048,0.2431117,0.9528307,0.1643049,6
