acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_total_x,acc_total_y,acc_total_z
0.005808544,-0.1667929,-0.04452804,0.2696669,-0.2289962,-0.1847782,0.9872196,-0.4013388,0.1368208
-0.2987382,-0.1553978,0.01602107,0.4678254,0.1820003,0.3065734,0.7122353,-0.3632325,0.1193646
-0.3004026,0.01869038,0.03568733,0.03865705,-0.7452227,-0.1556137,0.7000339,-0.1773122,0.1467328
0.004235688,-0.00761598,0.0120683,-0.01773808,-0.01413337,0.01446819,1.027604,0.02078272,-0.04533069
-0.06928865,0.06091556,0.1131216,-0.3391117,-0.01608463,0.1723079,0.9051825,0.02054774,0.4234018
-0.002727247,-0.005894324,0.006436509,0.005398131,-0.01156079,-0.01596139,-0.02403921,0.6986047,0.7430857
-0.002662731,0.0141846,-0.0129939,-0.01503492,0.02077688,0.05216924,0.9106587,0.4250545,0.07626286
0.01080696,0.007607528,0.01500102,-0.1076726,0.024198,0.05314788,0.9459807,-0.1530511,-0.3843338
0.006456302,-0.01914829,-0.05996254,0.02675209,0.007579419,0.02388028,1.029638,0.009058665,0.07160831
-0.3990707,-0.3123083,0.09045913,-0.8948514,-0.5243723,0.01330284,0.5668911,-0.434475,-0.2394761
-0.3160314,0.02617345,-0.003443201,-0.234073,0.4024892,-0.1272292,0.664705,-0.2940587,-0.04397154
-0.00617963,0.003695989,-0.006892503,0.02392273,0.03610091,0.07148982,0.2429988,0.9551509,0.1537905
-0.09880307,0.1804487,0.1198479,-0.2284823,-0.2881349,0.4498844,0.8972578,-0.02931918,-0.08607179
0.001842911,-0.008584232,-0.01832623,-0.01561153,0.0337413,-0.02631143,0.9938121,-0.3270131,-0.04846744
0.5580788,0.1269652,-0.1757736,0.01985624,-0.1706947,-0.08068452,1.550332,-0.1170187,-0.1886799
0.08453917,-0.230545,0.001821881,0.3752009,0.2941238,0.1817415,1.015643,-0.6093113,-0.1981682
0.001249811,-0.01087039,-0.001141251,0.00756836,0.00316419,-0.002075465,0.9299111,0.1821656,0.3736198
-0.00778153,-0.00182756,3.602403e-05,0.02280101,-0.03524039,0.01277225,0.02883665,0.4449059,0.9048296
0.004710897,-0.003228401,-0.01279689,-0.001800688,0.04299329,0.001069808,1.013021,0.0888613,0.1451455
